PlotID,paired_site,forest_type,fire_name,burn_sev_category,longitude,latitude,field elevation (m),field elevation (ft),slope (%),aspect,canopy_cover,avg_seed_source,conifer_seed_source,JUSC_seed_source,PIED_seed_source,PIPO_seed_source,PSME_seed_source,ABCO_seed_source,PICO_seed_source,POTR_seed_source ,PIFL_seed_source,PIAR_seed_source,ABLA_seed_source,PIEN_seed_source,bg_cover,lt_cover,wd_cover,rk_cover,gm_cover,fb_cover,sh_cover,tr_cover,ol_cover,total_cover,fuels_1,fuels_10,fuels_100,litter_avg_cm,duff_avg_cm,total_ba,live_ba,PIPO_live_ba,PSME_live_ba,ABCO_live_ba ,PICO_live_ba ,POTR_live_ba ,PIFL_live_ba ,PIAR_live_ba ,ABLA_live_ba ,PIEN_live_ba ,dead_ba,PIPO_dead_ba,PSME_dead_ba,ABCO_dead_ba,PICO_dead_ba,POTR_dead_ba,PIFL_dead_ba,PIAR_dead_ba,ABLA_dead_ba,PIEN_dead_ba,POTR,QUGA,RONE,deciduous_total,PIPO,PSME,ABCO,PICO,PIFL,PIAR,ABLA,PIEN,conifer_total
HS20,LS20,Upper Montane,Spring Creek,High,-105.251129,37.487429,2972,9750.656168,27,182,21.875,45.28245714,45.77272727,,,42.5,,,46.1,43.4848,,,,,0.614173228,0.196850394,0.141732283,0.047244094,0.007874016,0.188976378,0,0,0,0.196850394,49,53,21,0.211666667,0,28.0956714,0,0,0,0,0,0,0,0,0,0,28.0956714,12.40522389,0,0,0,0.794534165,4.89383018,0,0,0,2038.48004,0,NA,2038.48004,NA,0,0,0,0,NA,NA,NA,0
HS22,LS22,Upper Montane,Spring Creek,High,-105.199122,37.442258,3022.4,9916.010499,26,221,30.15873016,46.85714286,46.85714286,,,19.5,58.5,33,,103,38.25,,,,0.251968504,0.267716535,0.141732283,0.338582677,0.086614173,0.118110236,0,0,0,0.204724409,43,78,9,0.3175,0,19.40756568,0,0,0,0,0,0,0,0,0,0,19.40756568,1.400032792,0,10.94726085,0,0,7.060272034,0,0,0,552.6000107,0,NA,552.6000107,NA,0,0,331.5600064,0,NA,NA,NA,331.5600064
HS25,LS25,Upper Montane,Spring Creek,High,-105.199628,37.687054,2869.5,9414.370079,16,227,6.25,139.9545455,135.125,,,,,,135.125,152.8333333,,,,,0.803149606,0.023622047,0.173228346,0,0.086614173,0.409448819,0.007874016,0.102362205,0,0.606299213,78,57,17,0,0,10.68834812,0,0,0,0,0,0,0,0,0,0,10.68834812,3.0844278,0,2.424296783,2.199233733,0.794534165,0,0,0,0,4965.634224,0,NA,4965.634224,NA,0,0,1591.549431,0,NA,NA,NA,1591.549431
HS26,LS26,Upper Montane,Spring Creek,High,-105.198739,37.606656,2871.1,9419.619423,27,186,10.9375,45.57142857,45.57142857,,,,,,45.57142857,,,,,,0.74015748,0.070866142,0.118110236,0.070866142,0.007874016,0.275590551,0.015748031,0.015748031,0,0.31496063,68,44,12,0.105833333,0,21.2801251,0,0,0,0,0,0,0,0,0,0,21.2801251,14.82566281,1.475696786,2.864840434,0.780533837,1.333391231,0,0,0,0,638.5600124,552.6000107,NA,1191.160023,NA,0,0,0,0,NA,NA,NA,0
HS27,LS27,Upper Montane,Spring Creek,High,-105.229548,37.491362,2955,9694.88189,38,43,9.523809524,211.4615385,211.4615385,,,,143,500,,500,319,,,,0.614173228,0.157480315,0.05511811,0.173228346,0,0.362204724,0.094488189,0.149606299,,0.606299213,36,20,4,0.052916667,0,8.760596304,0,0,0,0,0,0,0,0,0,0,8.760596304,3.987915628,4.772680676,0,0,0,0,0,0,0,14260.2829,0,NA,14260.2829,NA,0,0,0,0,NA,NA,NA,0
HS30,LS30,Lower Montane,Spring Creek,High,-105.12025,37.57678,2700,8858.267717,21,157,18.75,403.2,403.2,,,386,392.3333333,539,,,,,,,0.496062992,0.023622047,0.039370079,0.440944882,0.007874016,0.267716535,0.181102362,0.047244094,0,0.503937008,27,18,3,0.105833333,0,18.26196551,0,0,0,0,0,0,0,0,0,0,18.26196551,13.31032954,0,0,0,0,0,0,0,0,1399.920027,1301.680025,0,2701.600052,0,0,0,0,NA,NA,NA,NA,0
HS31,,Lower Montane,Spring Creek,High,-105.120171,37.5767,2710.8912,8894,34,76,23.80952381,206.7777778,206.7777778,,,204,216.3333333,200,,,,,,,0.173228346,0.244094488,0.251968504,0.330708661,0.125984252,0.503937008,0.05511811,0.031496063,0,0.716535433,168,50,20,0.423333333,0.052916667,11.61367646,0,0,0,0,0,0,0,0,0,0,11.61367646,8.297029891,0.972244994,2.344401578,0,0,0,0,0,0,0,7340.615743,0,7340.615743,0,0,0,0,NA,NA,NA,NA,0
HS32,LS32,Subalpine,Spring Creek,High,-105.206737,37.458793,3174,10413.38583,6,322,,68.5,68.5,,,,,,,,43,70.46153846,,,0.480314961,0.165354331,0.173228346,0.181102362,0.007874016,0.11023622,0,0.007874016,0,0.125984252,,,,,,42.08484012,0,0,0,0,0,0,0,0,0,0,42.08484012,0,0,0,0,0,0,0,0,42.08484012,1178.880023,NA,NA,1178.880023,NA,0,0,0,0,0,0,0,0
HS33,LS33,Subalpine,Spring Creek,High,-105.207097,37.459641,3168.9,10396.65354,17,27,,62.14285714,63.38461538,,,,,,,46,66.5,69,54.25,62.58333333,0.755905512,0.078740157,0.149606299,0.015748031,0.039370079,0.228346457,0,0,0,0.267716535,,,,,,18.3906808,0,0,0,0,0,0,0,0,0,0,18.3906808,0,0,7.705382878,0,0,0,3.424614612,0,7.260683306,1424.480028,NA,NA,1424.480028,NA,0,0,0,0,0,0,0,0
HS34,LS34,Subalpine,Spring Creek,High,-105.209405,37.462135,3190.4,10467.1916,34.5,57,,49.90909091,52.92307692,,,,,32.5,,69.16666667,,53.5,37.125,69.5,0.700787402,0.133858268,0.125984252,0.039370079,0.007874016,0.165354331,0,0,0,0.173228346,,,,,,24.52720901,0,0,0,0,0,0,0,0,0,0,24.52720901,0,0,1.6129,0,0,0,0,1.6129,19.65608972,36.84000072,NA,NA,36.84000072,NA,0,0,245.6000048,0,0,0,0,245.6000048
HS35,LS35,Subalpine,Spring Creek,High,-105.204241,37.458338,3190.6,10467.84777,33.5,253,,40.31851429,34.9966,,,,,,,72.25,25.75,36.84592,,,0.244094488,0.25984252,0.157480315,0.338582677,0.05511811,0.149606299,0,0,0,0.204724409,,,,,,23.37205003,0,0,0,0,0,0,0,0,0,0,23.37205003,0,0,0,0,0,9.65110973,13.7209403,0,0,0,NA,NA,0,NA,0,0,0,0,12.28000024,0,0,12.28000024
HS36,LS36,Subalpine,Spring Creek,High,-105.207324,37.458001,3156.8,10356.95538,46,244,,54.53571429,54.53571429,,,,,,,,34.5,57.875,,,0.196850394,0.275590551,0.062992126,0.464566929,0.165354331,0.118110236,0.007874016,0,0,0.291338583,,,,,,17.81189986,0,0,0,0,0,0,0,0,0,0,17.81189986,0,3.87499225,6.71224464,0,0,0,7.22466297,0,0,1449.040028,NA,NA,1449.040028,NA,49.12000095,0,0,12.28000024,0,0,0,61.40000119
